"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2021,"LA",0,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4627970,NA,NA,0,1
2022,"LA",0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4593690,NA,NA,0,1
2015,"MA",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6797480,NA,NA,0,0
2016,"MA",0,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6827280,NA,NA,0,1
2017,"MA",0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6863560,NA,NA,0,1
2018,"MA",0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6885720,NA,NA,0,1
2019,"MA",0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6894880,NA,NA,0,1
2020,"MA",0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6994600,NA,NA,0,1
2021,"MA",0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000470,NA,NA,0,1
2015,"MD",1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5988530,NA,2015,1,1
2016,"MD",1,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6007010,NA,2015,1,1
2017,"MD",1,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6028190,NA,2015,1,1
2018,"MD",1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6042150,NA,2015,1,1
2019,"MD",1,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6054950,NA,2015,1,1
2020,"MD",1,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6177940,NA,2015,1,1
2021,"MD",1,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6179400,NA,2015,1,1
2022,"MD",1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6192440,NA,2015,1,1
2015,"ME",0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329100,NA,NA,0,0
2016,"ME",0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1332350,NA,NA,0,1
2017,"ME",0,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1335740,NA,NA,0,1
2018,"ME",0,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340120,NA,NA,0,1
2019,"ME",0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1345770,NA,NA,0,1
2020,"ME",0,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1364570,NA,NA,0,1
2021,"ME",0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378930,NA,NA,0,1
2022,"ME",0,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390920,NA,NA,0,1
2015,"MI",0,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9934480,NA,NA,0,0
2016,"MI",0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9954120,NA,NA,0,1
2017,"MI",0,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9976750,NA,NA,0,1
2018,"MI",0,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9987290,NA,NA,0,1
2019,"MI",0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9984800,NA,NA,0,1
2020,"MI",0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10072700,NA,NA,0,1
2021,"MI",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10041350,NA,NA,0,1
2022,"MI",0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10050880,NA,NA,0,1
2015,"MN",0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5484000,NA,NA,0,0
2016,"MN",0,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5525360,NA,NA,0,1
2017,"MN",0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5569280,NA,NA,0,1
2018,"MN",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5608760,NA,NA,0,1
2019,"MN",0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5640050,NA,NA,0,1
2020,"MN",0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5710740,NA,NA,0,1
2021,"MN",0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5718660,NA,NA,0,1
2022,"MN",0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5721620,NA,NA,0,1
2015,"MO",0,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6075410,NA,NA,0,0
2016,"MO",0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6091380,NA,NA,0,1
2017,"MO",0,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6111380,NA,NA,0,1
2018,"MO",0,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6125990,NA,NA,0,1
2019,"MO",0,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6140480,NA,NA,0,1
2020,"MO",0,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6154740,NA,NA,0,1
2021,"MO",0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6171370,NA,NA,0,1
2022,"MO",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6179410,NA,NA,0,1
2015,"MS",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2990230,NA,NA,0,0
2016,"MS",0,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2990600,NA,NA,0,1
2017,"MS",0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2990670,NA,NA,0,1
2018,"MS",0,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2982880,NA,NA,0,1
2019,"MS",0,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2978230,NA,NA,0,1
2020,"MS",0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2958540,NA,NA,0,1
2021,"MS",0,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2947210,NA,NA,0,1
2015,"MT",0,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031500,NA,NA,0,0
2016,"MT",0,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1042140,NA,NA,0,1
2017,"MT",0,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1053860,NA,NA,0,1
2018,"MT",0,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061820,NA,NA,0,1
2019,"MT",0,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070120,NA,NA,0,1
2020,"MT",0,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087230,NA,NA,0,1
2021,"MT",0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1106520,NA,NA,0,1
2022,"MT",0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1122100,NA,NA,0,1
2015,"NC",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10037220,NA,NA,0,0
2016,"NC",0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10161800,NA,NA,0,1
2017,"NC",0,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10275760,NA,NA,0,1
2018,"NC",0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10391360,NA,NA,0,1
2019,"NC",0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10501380,NA,NA,0,1
2020,"NC",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10449650,NA,NA,0,1
2021,"NC",0,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10564320,NA,NA,0,1
2022,"NC",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10710790,NA,NA,0,1
2015,"ND",0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755537,NA,NA,0,0
2016,"ND",0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756114,NA,NA,0,1
2017,"ND",0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756755,NA,NA,0,1
2018,"ND",0,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760062,NA,NA,0,1
2020,"ND",0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779563,NA,NA,0,1
2022,"ND",0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781057,NA,NA,0,1
2015,"NE",0,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892060,NA,NA,0,0
2016,"NE",0,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906480,NA,NA,0,1
2018,"NE",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925510,NA,NA,0,1
2019,"NE",0,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932570,NA,NA,0,1
2020,"NE",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963390,NA,NA,0,1
2021,"NE",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1964540,NA,NA,0,1
2015,"NH",0,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1337480,NA,NA,0,0
2016,"NH",0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343690,NA,NA,0,1
2017,"NH",0,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350400,NA,NA,0,1
2018,"NH",0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355060,NA,NA,0,1
2019,"NH",0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360780,NA,NA,0,1
2020,"NH",0,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378760,NA,NA,0,1
2015,"NJ",0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8870310,NA,NA,0,0
2016,"NJ",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8873580,NA,NA,0,1
