"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2017,"MI",0,0.11,0.0909,0.6364,0.8182,0.0909,0.4545,0.5455,0,0,0,0.0909,9976750,0.4958595,NA,0,1
2018,"MI",0,0.16,0.0625,0.8125,0.9375,0.25,0.3125,0.625,0.0625,0,0,0,9987290,0.5078125,NA,0,1
2019,"MI",0,0.09,0,0.7778,0.7778,0.2222,0.2222,0.6667,0,0.1111,0,0,9984800,0.49379506,NA,0,1
2020,"MI",0,0.12,0.3333,0.8333,1,0.4167,0.4167,0.5833,0,0,0,0,10072700,0.48612222,NA,0,1
2021,"MI",0,0.1,0.1,0.8,1,0.4,0.3,0.7,0,0,0,0,10041350,0.42,NA,0,1
2022,"MI",0,0.04,0.5,1,0.75,0.5,0.5,0.5,0,0,0,0,10050880,0.5,NA,0,1
2015,"MN",0,0.15,0,0.875,0.75,0,0,1,0,0,0,0,5484000,0,NA,0,0
2016,"MN",0,0.24,0.3077,0.6923,0.9231,0.0769,0.1538,0.6923,0.0769,0.0769,0,0.0769,5525360,0.48523905,NA,0,1
2017,"MN",0,0.14,0.125,0.625,1,0.25,0.125,0.625,0.125,0,0.125,0,5569280,0.5625,NA,0,1
2018,"MN",0,0.2,0.6364,0.3636,1,0.2727,0.1818,0.5455,0,0.0909,0.1818,0,5608760,0.62806446,NA,0,1
2019,"MN",0,0.14,0.75,0.625,1,0.375,0.375,0.25,0.125,0.125,0.125,0,5640050,0.75,NA,0,1
2020,"MN",0,0.12,0.2857,0.7143,1,0.4286,0.1429,0.8571,0,0,0,0,5710740,0.24495918,NA,0,1
2021,"MN",0,0.09,0.6,0.6,1,0.8,0.2,0.6,0,0,0.2,0,5718660,0.56,NA,0,1
2022,"MN",0,0.03,1,0.5,1,0,0.5,0.5,0,0,0,0,5721620,0.5,NA,0,1
2015,"MO",0,0.33,0.1,0.75,0.9,0.4,0.4,0.6,0,0,0,0.1,6075410,0.48,NA,0,0
2016,"MO",0,0.25,0,0.7333,1,0.5333,0.4667,0.4667,0,0.0667,0,0,6091380,0.55993333,NA,0,1
2017,"MO",0,0.44,0,0.8148,0.8889,0.3333,0.4074,0.5556,0,0.037,0,0.1111,6111380,0.52396488,NA,0,1
2018,"MO",0,0.28,0,0.8824,1,0.4118,0.4118,0.5294,0.0588,0,0,0.0588,6125990,0.54669896,NA,0,1
2019,"MO",0,0.36,0,0.7273,0.9091,0.5455,0.5,0.4545,0,0.0455,0,0.0909,6140480,0.5413595,NA,0,1
2020,"MO",0,0.28,0,0.7647,0.9412,0.5294,0.4706,0.5294,0,0,0,0.0588,6154740,0.49827128,NA,0,1
2021,"MO",0,0.13,0.125,0.625,1,0.375,0.25,0.75,0,0,0,0,6171370,0.375,NA,0,1
2022,"MO",0,0.1,0,0.3333,1,0.6667,0.3333,0.5,0,0.1667,0,0,6179410,0.61112222,NA,0,1
2015,"MS",0,0.2,0,0.6667,0.8333,0.1667,0,1,0,0,0,0,2990230,0,NA,0,0
2016,"MS",0,0.27,0,0.875,0.75,0.5,0.5,0.5,0,0,0,0,2990600,0.5,NA,0,1
2017,"MS",0,0.5,0.1333,0.7333,0.8667,0.2667,0.4,0.5333,0,0.0667,0,0.0667,2990670,0.55114222,NA,0,1
2018,"MS",0,0.27,0,0.75,0.875,0.5,0.625,0.375,0,0,0,0.125,2982880,0.46875,NA,0,1
2019,"MS",0,0.44,0.1538,0.6923,1,0.6154,0.3077,0.6154,0.0769,0,0,0,2978230,0.52068994,NA,0,1
2020,"MS",0,0.3,0.1111,0.7778,1,0.2222,0.3333,0.6667,0,0,0,0,2958540,0.44442222,NA,0,1
2021,"MS",0,0.24,0,0.5714,1,0.4286,0.7143,0.2857,0,0,0,0,2947210,0.40815102,NA,0,1
2015,"MT",0,0.19,0,1,1,0.5,0,1,0,0,0,0,1031500,0,NA,0,0
2016,"MT",0,0.48,0.2,0.6,1,0,0,1,0,0,0,0,1042140,0,NA,0,1
2017,"MT",0,0.38,0.25,0.75,1,0.75,0,0.5,0,0,0.5,0,1053860,0.5,NA,0,1
2018,"MT",0,0.47,0.2,0.4,1,0,0,0.8,0,0,0.2,0.2,1061820,0.32,NA,0,1
2019,"MT",0,0.56,0,0.6667,1,0.3333,0,1,0,0,0,0,1070120,0,NA,0,1
2020,"MT",0,0.55,0,0.8333,1,0.3333,0,1,0,0,0,0,1087230,0,NA,0,1
2021,"MT",0,0.09,0,1,1,1,0,1,0,0,0,0,1106520,0,NA,0,1
2022,"MT",0,0.09,1,1,1,1,0,0,0,0,1,0,1122100,0,NA,0,1
2015,"NC",0,0.2,0,0.8,1,0.25,0.35,0.65,0,0,0,0.1,10037220,0.455,NA,0,0
2016,"NC",0,0.3,0.2333,0.6333,0.9333,0.2333,0.3667,0.5667,0.0333,0.0333,0,0.0333,10161800,0.54216444,NA,0,1
2017,"NC",0,0.21,0.1364,0.7273,1,0.4545,0.4091,0.5,0,0.0909,0,0.0455,10275760,0.57437438,NA,0,1
2018,"NC",0,0.23,0.25,0.625,1,0.0417,0.2917,0.5833,0,0.125,0,0,10391360,0.55904722,NA,0,1
